data_dia,target,no_t,no2_t,nox_t,o3_t,nox_x_o3_t,no_lag1,no_lag7,o3_lag1,o3_lag7,pm10_lag1,pm2_5_lag1,so2_lag12,no_ma3_s1,no_ma7_s1,o3_ma7_s1,pm10_ma3_s1,pm2_5_ma3_s1,so2_ma7_s1,no_ma60_s1,nox_ma60_s1,no2_ma30_s1,o3_ma150_s1,so2_ma150_s21,pm10_ma30_s1,pm2_5_ma7_s1
2020-02-20,245.0,1.7798792327382178,4.6741454067716095,3.049165885353392,9.854211375519606,30.047125153295703,1.8525101780648408,1.7964989443134565,8.811799171890014,6.3830136175567365,3.123848457738492,4.2421476559415785,2.4006066632020686,1.751620457710372,1.756477368609062,7.815227314834603,3.0748163971668263,4.210387017136218,2.2826597139812703,1.713675122023543,2.872470408821567,4.253806572818289,8.573850054955768,2.2812576587700923,3.0095087680634722,4.146204762960781
2020-02-21,155.0,1.80222185404878,4.630079284146576,3.044199858983313,8.198885464879712,24.959045976007154,1.7798792327382178,1.9214565022921024,9.854211375519606,7.2289980308141715,3.4194018203408496,5.338328529939973,2.233933583822264,1.781446527463111,1.7541031240983134,8.311112708829297,3.201588520245038,4.5974744380100345,2.5130287795349395,1.7176175555621078,2.8764022359134027,4.267632923610549,8.577902504519448,2.285525558885588,3.020497587530872,4.431756698436799
2020-02-22,170.0,1.7196455496242924,4.3099355835599376,2.9244334809326364,7.428374221448301,21.72378628210032,1.80222185404878,1.8145210769187856,8.198885464879712,8.517081692004393,3.219235033269644,4.412069318262482,1.6705798857904663,1.8115370882839452,1.737069602920696,8.449668056552946,3.2541617704496617,4.664181834714675,2.462397400928532,1.7146369676039996,2.8748267481882928,4.290857687828074,8.576011434368011,2.2921956025401724,3.0249121291064465,4.523829124994479
2020-02-23,195.0,1.648655796853533,4.013695919395518,2.811516256781164,7.48870979222901,21.054629323168154,1.7196455496242924,1.5080036836079695,7.428374221448301,8.779125986000208,2.832053299492021,3.966364009512576,2.0018768104571243,1.7672488788037626,1.7235159561643398,8.294138417902078,3.1568967177008385,4.572253952571675,2.29912595466025,1.7130781835568742,2.8719901010195525,4.282157447435447,8.590914649582139,2.296608102252431,3.0198817516335676,4.455589317988169
2020-02-24,110.0,1.698829851519693,4.486860134469632,2.969759280822965,7.2968275726472305,21.66982140443402,1.648655796853533,1.690401023480001,7.48870979222901,7.953985478887183,2.8504325579528142,3.7932807525872585,2.107406610212406,1.7235077335088673,1.7436091151994204,8.109793247363333,2.9672402969048264,4.057238026787437,2.2888110190561735,1.713724100142284,2.872523251218399,4.260614828070616,8.613772145592417,2.3065330586512998,3.0204638089211313,4.305886237387279
2020-02-25,180.0,1.7543647517823802,4.411907710203742,2.966030384951432,7.54825701530924,22.388359660830012,1.698829851519693,1.7119501715862775,7.2968275726472305,7.032587226689513,3.137327407151009,3.903548568122953,1.6526686084427813,1.6890437326658383,1.7448132334908049,8.015913546471912,2.9399377548652814,3.88773111007426,2.2666964918917856,1.7130074214450268,2.873787788950611,4.291177528553751,8.61460864909075,2.309809939734971,3.031881709084476,4.26681228035934
2020-02-26,250.0,1.8399814085681,4.279310268236921,2.962277789609355,7.571449553979293,22.428736848900517,1.7543647517823802,1.8525101780648408,7.54825701530924,8.811799171890014,2.853294082286776,4.041691224165509,2.353440520298622,1.7006168000518675,1.7508724592331053,8.089580659131872,2.9470180157968664,3.912840181625238,2.3345110532562687,1.7152230516549918,2.8771208627752407,4.308744604521055,8.611721357318576,2.3086655754071583,3.015713784665752,4.242490008361761
2020-02-27,130.0,1.9302478358790616,4.435250147103411,3.043955033717251,8.227406762126872,25.043856228015443,1.8399814085681,1.7798792327382178,7.571449553979293,9.854211375519606,2.853976008767957,3.736286255422216,2.7070696435192607,1.7643920039567231,1.749082635019285,7.912387856573198,2.9481991660685805,3.893842015903557,2.229097117963402,1.7204344216404743,2.881248554901127,4.296807753246678,8.61611728577588,2.3047112234763625,2.999336531349693,4.170224094001853
2020-02-28,190.0,1.9720145785555172,4.685872572691435,3.126335072673791,5.221466053265344,16.324052453099043,1.9302478358790616,1.80222185404878,8.227406762126872,8.198885464879712,2.669421483098817,3.3805070699684383,2.0408460212307227,1.8415313320765128,1.7705638640394057,7.679987197517094,2.79223052471785,3.7194948498520524,1.9441327953600716,1.729628207906988,2.8912192385601534,4.295861856657363,8.617499947452187,2.2996271435139577,2.975838527778408,3.8905353140059193
2020-02-29,120.0,1.81875497900704,4.22225790378298,2.9376731177867,5.887726850975444,17.2962168949815,1.9720145785555172,1.7196455496242924,5.221466053265344,7.428374221448301,2.9631598767193736,3.595772909739279,2.55779451705711,1.9140812743342253,1.7948199675403682,7.25464156728647,2.8288524561953827,3.570855411709976,1.9598753218625162,1.7336100302328832,2.8973999185685364,4.302835433418612,8.59131156215733,2.298346135351841,2.9632881409548397,3.7739215413597473
2020-03-01,230.0,1.6349846084982342,3.97430890490962,2.794488241257736,7.027232508944894,19.637518614830604,1.81875497900704,1.648655796853533,5.887726850975444,7.48870979222901,2.9489581558440063,3.255114215408517,1.965095940036509,1.9070057978138717,1.8089784574521894,7.034549085790347,2.860513171887399,3.410464731705409,1.9988690470898154,1.7343898872052579,2.8989588683731653,4.292536374426632,8.570341833003216,2.28851092401017,2.9553879953167246,3.67231442791631
2020-03-02,135.0,2.195668583429256,5.189793652936345,3.3558416441750567,5.33734613687056,17.911288435487087,1.6349846084982342,1.698829851519693,7.027232508944894,7.2968275726472305,2.175360774746096,2.959740777347883,2.7017027472838864,1.8085847220202627,1.8070254305442894,6.968623759606902,2.695826269103159,3.2702093008318904,2.0009324407257365,1.7386342434062256,2.9008364123804724,4.2828684734836315,8.558690371804966,2.2877171689191202,2.9262930057068255,3.5532372885963994
2020-03-03,150.0,2.109645497754716,4.654669371170505,3.1911009389247043,6.268574816568563,20.003654982871698,2.195668583429256,1.7543647517823802,5.33734613687056,7.54825701530924,2.735407089549009,3.401628353732764,3.265252067318469,1.8831360569781757,1.8780023922456555,6.688697840210236,2.619908673379704,3.2054944488297186,1.9996808206347172,1.7484414458969058,2.910069698114728,4.314537244329781,8.528350825732568,2.291672737456031,2.9116467634152157,3.4815344008263724
2020-03-04,225.0,2.027610790614952,4.2826928315475605,3.0587786070567966,6.113418972825252,18.699595170053016,2.109645497754716,1.8399814085681,6.268574816568563,7.571449553979293,2.836587651863828,3.3743530343137427,1.9990208700537664,1.980099563227401,1.9287567845274178,6.505886097532995,2.5824518387196442,3.2452407217981274,1.9649685513504644,1.7540016117691055,2.9153288803771376,4.3499694564376385,8.516104704328056,2.293252502314026,2.9115007454724426,3.3862003737046917
