data_formatada,descricao_aqi,aqi_final
2012-12-16,Unhealthy for Sensitive Groups,4.406199713219584
2012-12-17,Unhealthy for Sensitive Groups,4.40979339055118
2012-12-18,Unhealthy for Sensitive Groups,4.3941304521803435
2012-12-19,Unhealthy,4.7560486810355815
2012-12-20,Unhealthy for Sensitive Groups,4.397092698727148
2012-12-21,Unhealthy,4.76172823763205
2012-12-22,Unhealthy for Sensitive Groups,4.41449710974673
2012-12-23,Moderate,4.002902164767239
2012-12-24,Moderate,4.258287122740973
2012-12-25,Moderate,3.8882216245374632
2012-12-26,Unhealthy for Sensitive Groups,4.475394895833812
2012-12-27,Unhealthy for Sensitive Groups,4.4549434191988135
2012-12-28,Moderate,4.27348240037715
2012-12-29,Moderate,4.216985478648058
2012-12-30,Unhealthy,4.887888502543543
2012-12-31,Moderate,4.014005453261406
2013-01-01,Moderate,4.113169861798574
2013-01-02,Moderate,4.265201899225872
2013-01-03,Moderate,3.952445694570253
2013-01-04,Good,3.762218838791876
2013-01-05,Moderate,4.078585996020422
2013-01-06,Moderate,4.275099129107434
2013-01-07,Unhealthy for Sensitive Groups,4.40039267395862
2013-01-08,Moderate,4.104877251100081
2013-01-09,Moderate,4.235038920574874
2013-01-10,Moderate,4.1920907241498275
2013-01-11,Moderate,3.924347221596791
2013-01-12,Moderate,4.124956314552105
2013-01-13,Moderate,4.158424063946502
2013-01-14,Moderate,4.240864131217477
2013-01-15,Moderate,4.238852050815428
2013-01-16,Moderate,4.32555142682238
2013-01-17,Moderate,3.8557136778311594
2013-01-18,Moderate,4.283796778353613
2013-01-19,Moderate,4.156338231770495
2013-01-20,Good,3.7218646538325317
2013-01-21,Good,3.7211557524584924
2013-01-22,Good,3.66197805204502
2013-01-23,Good,3.6321312397679866
2013-01-24,Moderate,4.276212634340192
2013-01-25,Moderate,4.3210763286408564
2013-01-26,Moderate,4.214228149240302
2013-01-27,Moderate,4.086861054754878
2013-01-28,Good,3.760863023672267
2013-01-29,Good,3.724164716800494
2013-01-30,Good,3.441361797549011
2013-01-31,Good,3.640705246378209
2013-02-01,Good,3.5593624658013487
2013-02-02,Moderate,4.1323072102716125
2013-02-03,Moderate,4.105007420927769
2013-02-04,Moderate,4.0525977969775635
2013-02-05,Moderate,4.137843387431597
2013-02-06,Moderate,3.9601386440226882
2013-02-07,Moderate,4.247981347441916
2013-02-08,Moderate,4.318625768787085
2013-02-09,Unhealthy for Sensitive Groups,4.403455778224068
2013-02-10,Unhealthy for Sensitive Groups,4.586985119333564
2013-02-11,Unhealthy for Sensitive Groups,4.673070771146844
2013-02-12,Unhealthy for Sensitive Groups,4.67532587733547
2013-02-13,Moderate,4.11574548841222
2013-02-14,Moderate,4.174449158748784
2013-02-15,Unhealthy for Sensitive Groups,4.507647410818907
2013-02-16,Unhealthy for Sensitive Groups,4.462406015329515
2013-02-17,Moderate,4.00902018968975
2013-02-18,Unhealthy for Sensitive Groups,4.548368995766819
2013-02-19,Moderate,4.099654739502435
2013-02-20,Unhealthy for Sensitive Groups,4.6635584529229055
2013-02-21,Moderate,4.248977627712513
2013-02-22,Moderate,3.9245339642757635
2013-02-23,Moderate,3.916362857980973
2013-02-24,Moderate,4.021331382573733
2013-02-25,Unhealthy for Sensitive Groups,4.414627410646975
2013-02-26,Moderate,4.272988399035016
2013-02-27,Moderate,4.269103724238592
2013-02-28,Moderate,3.8746676684419823
2013-03-01,Moderate,3.856441585481145
2013-03-02,Moderate,3.855408460866948
2013-03-03,Moderate,4.018252744779242
2013-03-04,Moderate,4.184745482684778
2013-03-05,Moderate,4.186290669879554
2013-03-06,Moderate,3.9659673989192465
2013-03-07,Moderate,4.049747072310062
2013-03-08,Moderate,4.225671003235706
2013-03-09,Unhealthy for Sensitive Groups,4.4035917717084505
2013-03-10,Moderate,3.8547190464458985
2013-03-11,Moderate,3.8687964148488287
2013-03-12,Moderate,3.945620501018356
2013-03-13,Moderate,3.9753457566270836
2013-03-14,Good,3.664247895627458
2013-03-15,Good,3.675373553320537
2013-03-16,Good,3.6235441217292252
2013-03-17,Moderate,3.8244206816436477
2013-03-18,Good,3.6562781920932323
2013-03-19,Moderate,3.811082571171551
2013-03-20,Moderate,3.879859572758956
2013-03-21,Unhealthy for Sensitive Groups,4.397026240669249
2013-03-22,Unhealthy for Sensitive Groups,4.396427892439404
2013-03-23,Moderate,3.9429341922993273
2013-03-24,Good,3.7589954179381566
2013-03-25,Moderate,4.068742892049738
2013-03-26,Moderate,3.99528374783373
2013-03-27,Moderate,3.879544012010643
2013-03-28,Moderate,3.857645388652067
2013-03-29,Good,3.7433939242656984
2013-03-30,Good,3.491930727353305
2013-03-31,Moderate,3.866026867954864
2013-04-01,Moderate,4.013792692431128
2013-04-02,Moderate,3.8979662410324507
2013-04-03,Good,3.727339701243517
2013-04-04,Moderate,3.936543019717935
2013-04-05,Moderate,3.9829956131955617
2013-04-06,Moderate,4.049541277512163
2013-04-07,Moderate,3.8506789165650344
2013-04-08,Moderate,3.830251161854137
2013-04-09,Moderate,3.9692886986099154
2013-04-10,Moderate,3.9569156944178285
2013-04-11,Moderate,3.9550687591733378
2013-04-12,Moderate,4.266721323086105
2013-04-13,Moderate,4.077646851737115
2013-04-14,Good,3.541349130529763
2013-04-15,Moderate,3.854201636096375
2013-04-16,Moderate,3.9959586021168025
2013-04-17,Moderate,3.942657016719588
2013-04-18,Moderate,4.1043580316643276
2013-04-19,Moderate,3.957609548211703
2013-04-20,Moderate,3.9536822136352137
2013-04-21,Moderate,3.987337622432717
2013-04-22,Moderate,4.107835010898048
2013-04-23,Moderate,3.912249048853145
2013-04-24,Moderate,4.028242300265736
2013-04-25,Moderate,4.041426689281927
2013-04-26,Unhealthy for Sensitive Groups,4.412834081015821
2013-04-27,Unhealthy for Sensitive Groups,4.419615040655131
2013-04-28,Unhealthy for Sensitive Groups,4.418736387568842
2013-04-29,Moderate,4.269860416183543
2013-04-30,Unhealthy for Sensitive Groups,4.490455508620555
2013-05-01,Unhealthy for Sensitive Groups,4.404405599279936
2013-05-02,Unhealthy for Sensitive Groups,4.505717278249147
2013-05-03,Unhealthy for Sensitive Groups,4.397541159534003
2013-05-04,Unhealthy for Sensitive Groups,4.4549589762802455
2013-05-05,Unhealthy for Sensitive Groups,4.617706631671982
2013-05-06,Moderate,4.2497976885587585
2013-05-07,Moderate,4.288570139458395
2013-05-08,Moderate,4.018539723484867
2013-05-09,Moderate,4.143469858752445
2013-05-10,Moderate,4.089514059837382
2013-05-11,Moderate,4.219734243425645
2013-05-12,Moderate,3.92019118419602
2013-05-13,Moderate,4.317602690852069
2013-05-14,Unhealthy for Sensitive Groups,4.417391756372096
2013-05-15,Moderate,4.372469830202018
2013-05-16,Moderate,4.222253643524233
2013-05-17,Moderate,3.8159576184815784
2013-05-18,Good,3.5423794225773007
2013-05-19,Good,3.6177230624355228
2013-05-20,Moderate,4.299504201204059
2013-05-21,Moderate,4.129163527049565
2013-05-22,Moderate,3.8973999849520555
2013-05-23,Moderate,3.972597655628657
2013-05-24,Moderate,3.790643023013096
2013-05-25,Moderate,3.8877651882793245
2013-05-26,Moderate,3.9846263498918426
2013-05-27,Moderate,4.0955860495410965
2013-05-28,Moderate,4.079925910088222
2013-05-29,Moderate,3.9654844427004403
2013-05-30,Moderate,3.979725149618445
2013-05-31,Moderate,3.9387426176366387
2013-06-01,Moderate,4.126389925043557
2013-06-02,Moderate,4.041426689281927
2013-06-03,Moderate,4.099916596260373
2013-06-04,Moderate,3.979725149618445
2013-06-05,Moderate,4.3515416993206815
2013-06-06,Unhealthy for Sensitive Groups,4.393880369041762
2013-06-07,Unhealthy for Sensitive Groups,4.448619838531277
2013-06-08,Moderate,4.2238449810053185
2013-06-09,Moderate,3.93032494927072
2013-06-10,Unhealthy for Sensitive Groups,4.418576140716679
2013-06-11,Unhealthy for Sensitive Groups,4.643263055310602
2013-06-12,Unhealthy for Sensitive Groups,4.458273207589489
2013-06-13,Moderate,4.382667521237243
2013-06-14,Unhealthy for Sensitive Groups,4.4757483623930945
2013-06-15,Moderate,4.157197698444122
2013-06-16,Moderate,4.2136246027337565
2013-06-17,Moderate,4.11993335076348
2013-06-18,Moderate,4.011048016024794
2013-06-19,Moderate,4.232717647741953
2013-06-20,Unhealthy for Sensitive Groups,4.433987624015802
2013-06-21,Unhealthy for Sensitive Groups,4.478216703333744
2013-06-22,Moderate,4.27807390885646
2013-06-23,Moderate,3.856967945003611
2013-06-24,Moderate,3.8119855320858838
2013-06-25,Moderate,4.186646869011714
2013-06-26,Moderate,4.28879831308249
2013-06-27,Unhealthy for Sensitive Groups,4.492882952582917
2013-06-28,Moderate,4.294684667955033
2013-06-29,Moderate,4.140348450393696
2013-06-30,Unhealthy for Sensitive Groups,4.500125312311748
2013-07-01,Moderate,4.186355991304831
2013-07-02,Moderate,3.9341802671831214
2013-07-03,Moderate,3.7940842910347703
2013-07-04,Moderate,4.163678182557504
2013-07-05,Unhealthy for Sensitive Groups,4.428186763041453
2013-07-06,Unhealthy for Sensitive Groups,4.423507433892706
2013-07-07,Unhealthy,4.802584684379892
2013-07-08,Moderate,4.169758826019566
2013-07-09,Moderate,3.9582983868682002
2013-07-10,Moderate,3.9519937549456476
2013-07-11,Moderate,3.9775381461185115
2013-07-12,Unhealthy for Sensitive Groups,4.404141935248058
2013-07-13,Unhealthy for Sensitive Groups,4.395229975452332
2013-07-14,Moderate,4.281657543095116
2013-07-15,Moderate,3.955928524760302
2013-07-16,Moderate,3.904558397330431
2013-07-17,Moderate,4.21847545268917
2013-07-18,Unhealthy for Sensitive Groups,4.66305125703074
2013-07-19,Unhealthy for Sensitive Groups,4.585852873611018
2013-07-20,Moderate,4.165260523642943
2013-07-21,Moderate,4.193858682895276
2013-07-22,Moderate,4.008585053386882
2013-07-23,Good,3.6520751625452195
2013-07-24,Moderate,3.791312114576401
2013-07-25,Moderate,3.8506789165650344
2013-07-26,Moderate,4.0369974258697106
2013-07-27,Moderate,3.848490247415673
2013-07-28,Moderate,4.221144935754142
2013-07-29,Moderate,4.222142835240927
2013-07-30,Moderate,4.370104971333564
2013-07-31,Unhealthy for Sensitive Groups,4.455344956679639
2013-08-01,Unhealthy,4.753856600753852
2013-08-02,Unhealthy,4.889223252595058
2013-08-03,Unhealthy,4.856827569021921
2013-08-04,Unhealthy,4.7935826081014685
2013-08-05,Moderate,4.230250492961093
2013-08-06,Moderate,4.329836084395754
2013-08-07,Unhealthy for Sensitive Groups,4.526958887821377
2013-08-08,Moderate,4.332926328929082
2013-08-09,Unhealthy for Sensitive Groups,4.437979120706866
2013-08-10,Unhealthy for Sensitive Groups,4.3969309002239925
2013-08-11,Moderate,4.312374300486332
2013-08-12,Moderate,4.290049940056289
2013-08-13,Unhealthy,4.8215223270050585
2013-08-14,Moderate,4.355865278192752
2013-08-15,Moderate,3.9733679793296806
2013-08-16,Moderate,4.015055716477961
2013-08-17,Moderate,3.962280815771592
2013-08-18,Good,3.6668888083845137
2013-08-19,Moderate,3.786583967136904
2013-08-20,Moderate,4.124701745525569
2013-08-21,Moderate,4.061937539704386
2013-08-22,Moderate,4.239523253011572
2013-08-23,Unhealthy for Sensitive Groups,4.421829045190977
2013-08-24,Moderate,4.258614427253352
2013-08-25,Moderate,4.367993696024829
2013-08-26,Moderate,4.264179640583276
2013-08-27,Moderate,3.9098897510704775
2013-08-28,Moderate,3.919229340834142
2013-08-29,Moderate,4.0995989729524736
2013-08-30,Moderate,4.078049463769322
2013-08-31,Moderate,4.148317416664364
2013-09-01,Moderate,4.213882878232217
2013-09-02,Unhealthy for Sensitive Groups,4.443780602864062
2013-09-03,Unhealthy for Sensitive Groups,4.660118073971079
2013-09-04,Moderate,4.121768938369194
