nome_estacao,codnum,data,ano,mes,dia,data_dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 22:30:00,2012,1,4,2012-01-04,0.0,27.49,85.46,0.08,,,,0.0,26.84,25.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-04 23:30:00,2012,1,4,2012-01-04,0.0,27.44,86.52,0.12,,,,0.37,14.29,28.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 00:30:00,2012,1,5,2012-01-05,0.0,27.24,87.19,0.18,,,,0.0,1.63,32.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 01:30:00,2012,1,5,2012-01-05,0.0,27.27,85.58,0.14,,,,0.9,1.19,24.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 02:30:00,2012,1,5,2012-01-05,0.0,26.83,88.07,0.12,,,,4.74,0.71,34.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 03:30:00,2012,1,5,2012-01-05,0.0,26.12,89.11,0.09,,,,8.24,5.84,41.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 04:30:00,2012,1,5,2012-01-05,0.0,25.87,92.55,0.05,,,,5.84,21.01,27.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 05:30:00,2012,1,5,2012-01-05,0.0,25.2,97.69,0.05,,,,4.29,21.51,19.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 06:30:00,2012,1,5,2012-01-05,0.0,24.59,99.72,0.05,,,,8.07,11.08,23.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 07:30:00,2012,1,5,2012-01-05,0.0,24.45,99.81,0.08,,,,15.44,0.85,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 08:30:00,2012,1,5,2012-01-05,0.0,24.84,98.62,0.17,,,,12.84,0.46,30.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 09:30:00,2012,1,5,2012-01-05,0.0,25.82,93.38,0.26,,,,10.18,2.67,41.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 10:30:00,2012,1,5,2012-01-05,0.0,27.07,88.68,0.27,,,,14.92,5.03,31.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 11:30:00,2012,1,5,2012-01-05,0.0,28.27,84.04,0.18,,,,13.71,14.4,36.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 12:30:00,2012,1,5,2012-01-05,0.0,31.18,74.5,0.26,,,,19.02,18.15,35.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 13:30:00,2012,1,5,2012-01-05,0.0,32.57,70.94,0.18,,,,12.46,39.57,52.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 14:30:00,2012,1,5,2012-01-05,0.0,35.3,61.06,0.15,,,,4.63,57.14,26.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 15:30:00,2012,1,5,2012-01-05,0.0,34.8,61.52,0.11,,,,2.56,67.14,18.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 16:30:00,2012,1,5,2012-01-05,0.0,33.16,68.33,0.12,,,,2.32,65.19,18.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 17:30:00,2012,1,5,2012-01-05,0.0,32.34,70.69,0.13,,,,2.45,65.91,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 18:30:00,2012,1,5,2012-01-05,0.0,31.87,74.67,0.15,,,,2.8,54.4,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 19:30:00,2012,1,5,2012-01-05,0.0,30.25,79.17,0.12,,,,2.14,60.15,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 20:30:00,2012,1,5,2012-01-05,0.0,29.19,81.87,0.11,,,,2.58,64.14,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 21:30:00,2012,1,5,2012-01-05,0.0,28.81,83.95,0.13,,,,2.6,68.44,13.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 22:30:00,2012,1,5,2012-01-05,0.0,28.79,85.55,0.16,,,,1.74,62.66,19.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-05 23:30:00,2012,1,5,2012-01-05,0.0,28.93,85.15,0.21,,,,1.82,36.79,30.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 00:30:00,2012,1,6,2012-01-06,0.0,28.94,84.05,0.19,,,,2.71,24.43,27.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 01:30:00,2012,1,6,2012-01-06,0.0,28.58,84.52,0.13,,,,2.29,22.29,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 02:30:00,2012,1,6,2012-01-06,0.0,27.77,87.59,0.1,,,,8.12,19.36,22.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 03:30:00,2012,1,6,2012-01-06,0.0,27.29,90.44,0.07,,,,5.73,30.57,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 04:30:00,2012,1,6,2012-01-06,0.0,27.07,92.39,0.07,,,,5.59,32.91,16.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 05:30:00,2012,1,6,2012-01-06,0.0,26.71,94.94,0.06,,,,11.52,19.46,11.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 06:30:00,2012,1,6,2012-01-06,0.0,26.62,97.01,0.06,,,,9.91,21.33,12.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 07:30:00,2012,1,6,2012-01-06,0.0,26.2,99.64,0.08,,,,4.95,10.93,12.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 08:30:00,2012,1,6,2012-01-06,0.0,26.11,99.53,0.22,,,,8.53,0.44,10.0,,-22.89777109,-43.22174541
ESTAÇÃO SÃO CRISTÓVÃO,7,2012-01-06 09:30:00,2012,1,6,2012-01-06,0.0,26.86,95.59,0.34,,,,8.63,2.25,26.0,,-22.89777109,-43.22174541
