CGC_HOSP,data_dia,num_internacoes,CNES,COD_CEP,Logradouro,Numero,Status_Busca_CNES,Endereco
254512000184,2012-05-07,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-08,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-09,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-10,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-11,28,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-12,28,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-13,112,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-14,56,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-15,126,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-16,140,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-17,154,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-18,112,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-19,70,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-20,140,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-21,98,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-22,126,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-23,126,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-24,140,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-25,98,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-26,112,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
