data_formatada,aqi_final,descricao_aqi
2013-05-16,83.52175749894381,Moderate
2013-05-17,53.06652173913043,Moderate
2013-05-18,39.120370370370374,Good
2013-05-19,42.54716981132076,Good
2013-05-20,91.06282608695653,Moderate
2013-05-21,75.2671102661597,Moderate
2013-05-22,58.11089987325729,Moderate
2013-05-23,63.19565906210393,Moderate
2013-05-24,51.58998732572877,Moderate
2013-05-25,57.48986058301648,Moderate
2013-05-26,64.04958808618505,Moderate
2013-05-27,72.49608695652175,Moderate
2013-05-28,71.23913043478261,Moderate
2013-05-29,62.69608695652175,Moderate
2013-05-30,63.70025348542459,Moderate
2013-05-31,60.85326086956522,Moderate
2013-06-01,75.0342205323194,Moderate
2013-06-02,68.24160329531053,Moderate
2013-06-03,72.84760869565218,Moderate
2013-06-04,63.70025348542459,Moderate
2013-06-05,96.52739130434782,Moderate
2013-06-06,101.21756756756757,Unhealthy for Sensitive Groups
2013-06-07,107.62537688442211,Unhealthy for Sensitive Groups
2013-06-08,83.67054816223069,Moderate
2013-06-09,60.28453738910013,Moderate
2013-06-10,104.05918918918918,Unhealthy for Sensitive Groups
2013-06-11,133.93341708542715,Unhealthy for Sensitive Groups
2013-06-12,108.79731993299832,Unhealthy for Sensitive Groups
2013-06-13,99.95342205323195,Moderate
2013-06-14,110.95184254606365,Unhealthy for Sensitive Groups
2013-06-15,77.66239130434784,Moderate
2013-06-16,82.71958174904942,Moderate
2013-06-17,74.4948969381629,Moderate
2013-06-18,65.96630434782608,Moderate
2013-06-19,84.50506970849176,Moderate
2013-06-20,105.87332495812394,Unhealthy for Sensitive Groups
2013-06-21,111.25963149078727,Unhealthy for Sensitive Groups
2013-06-22,88.9043567807351,Moderate
2013-06-23,55.54911280101394,Moderate
2013-06-24,52.832065906210396,Moderate
2013-06-25,80.26152173913044,Moderate
2013-06-26,89.97797845373891,Moderate
2013-06-27,113.10636515912897,Unhealthy for Sensitive Groups
2013-06-28,90.57282608695652,Moderate
2013-06-29,76.21369565217393,Moderate
2013-06-30,114.02973199329983,Unhealthy for Sensitive Groups
2013-07-01,80.23542458808619,Moderate
2013-07-02,60.544347826086955,Moderate
2013-07-03,51.78826086956522,Moderate
2013-07-04,78.22695652173914,Moderate
2013-07-05,105.18675675675675,Unhealthy for Sensitive Groups
2013-07-06,104.63621621621621,Unhealthy for Sensitive Groups
2013-07-07,160.27233710495514,Unhealthy
2013-07-08,78.76045627376426,Moderate
2013-07-09,62.1954347826087,Moderate
2013-07-10,61.75950570342206,Moderate
2013-07-11,63.544993662864385,Moderate
2013-07-12,102.38864864864865,Unhealthy for Sensitive Groups
2013-07-13,101.37081081081081,Unhealthy for Sensitive Groups
2013-07-14,89.26166609056344,Moderate
2013-07-15,62.03121039290241,Moderate
2013-07-16,58.57667934093789,Moderate
2013-07-17,83.16956521739131,Moderate
2013-07-18,136.9497487437186,Unhealthy for Sensitive Groups
2013-07-19,125.55831790531606,Unhealthy for Sensitive Groups
2013-07-20,78.3654347826087,Moderate
2013-07-21,80.91130434782609,Moderate
2013-07-22,65.78521739130434,Moderate
2013-07-23,44.20754716981132,Good
2013-07-24,51.62847826086957,Moderate
2013-07-25,55.160963244613434,Moderate
2013-07-26,67.905,Moderate
2013-07-27,55.02652173913044,Moderate
2013-07-28,83.41825095057034,Moderate
2013-07-29,83.51140684410647,Moderate
2013-07-30,98.55608365019012,Moderate
2013-07-31,108.44046318549267,Unhealthy for Sensitive Groups
2013-08-01,151.70100143061515,Unhealthy
2013-08-02,176.74719837863614,Unhealthy
2013-08-03,170.39437291368623,Unhealthy
2013-08-04,158.6525989508822,Unhealthy
2013-08-05,84.27217997465146,Moderate
2013-08-06,94.20880861850443,Moderate
2013-08-07,117.51800670016752,Unhealthy for Sensitive Groups
2013-08-08,94.5354347826087,Moderate
2013-08-09,106.34837837837838,Unhealthy for Sensitive Groups
2013-08-10,101.5642797319933,Unhealthy for Sensitive Groups
2013-08-11,92.38450570342206,Moderate
2013-08-12,90.1041304347826,Moderate
2013-08-13,163.73485932284217,Unhealthy
2013-08-14,96.99608695652175,Moderate
2013-08-15,63.25,Moderate
2013-08-16,66.26204055766794,Moderate
2013-08-17,62.47239130434782,Moderate
2013-08-18,44.943396226415096,Good
2013-08-19,51.35709759188847,Moderate
2013-08-20,74.89282608695653,Moderate
2013-08-21,69.82239130434783,Moderate
2013-08-22,85.15086956521739,Moderate
2013-08-23,104.43945945945946,Unhealthy for Sensitive Groups
2013-08-24,86.98922686945502,Moderate
2013-08-25,98.32319391634981,Moderate
